Molecule,SMILES,pEC50
15,O=C(Nc1nc(-c2ccc(C(F)(F)F)cc2)cs1)c1ccc(Nc2ccncn2)cc1,6.31
76,O=C(Nc1nc(-c2cccc(OC(F)(F)F)c2F)cs1)c1ccc(Nc2cc(N3CC(O)C3)ncn2)cc1,8.15
88,O=C(Nc1nc(-c2ccc(Cl)c(Cl)c2)ns1)c1ccc(Nc2ccncn2)cc1,5.36
58,O=C(Nc1nc(-c2ccc(F)c(C(F)(F)F)c2)cs1)c1ccc(Nc2ccnnc2)cc1,6.4
109,O=C(Nc1nc(-c2ccc(F)c(C(F)(F)F)c2)ns1)c1ccc(Nc2cc(N3CCC3)ncn2)cc1,7.09
28,O=C(Nc1nc(-c2cccc(Cl)c2Cl)cs1)c1ccc(Nc2ccncn2)cc1,5.87
25,CC(C)Cc1cccc(-c2csc(NC(=O)c3ccc(Nc4ccncn4)cc3)n2)c1F,7.46
20,O=C(Nc1nc(-c2cccc(Cl)c2F)cs1)c1ccc(Nc2ccncn2)cc1,6.21
68,COc1cc(Nc2ccc(C(=O)Nc3nc(-c4cccc(C(F)(F)F)c4F)cs3)cc2)ncn1,7.42
53,O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1ccc(Nc2cncnc2)cc1,6.5
52,O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1ccc(Nc2ncccn2)cc1,5.11
98,O=C(Nc1ccn(-c2ccc(F)c(C(F)(F)F)c2)n1)c1ccc(Nc2ccncn2)cc1,5.7
43,O=C(Nc1nc(-c2ccc(F)c(F)c2F)cs1)c1ccc(Nc2ccncn2)cc1,7.08
51,O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1ccc(Nc2cnccn2)cc1,5.1
1,O=C1NC(=O)/C(=C/c2ccc(C(=O)Nc3nc(-c4ccc(F)c(F)c4)cs3)cc2)S1,7.55
80,CN(C)c1cc(Nc2ccc(C(=O)Nc3nc(-c4ccc(F)c(C(F)(F)F)c4)c(Cl)s3)cc2)ncn1,7.96
78,Cc1sc(NC(=O)c2ccc(Nc3ccncn3)cc2)nc1-c1ccc(F)c(C(F)(F)F)c1,6.75
93,O=C(Nc1nc(-c2cccc(OC(F)(F)F)c2F)ns1)c1ccc(Nc2ccncn2)cc1,6.01
72,CN(CCO)c1cc(Nc2ccc(C(=O)Nc3nc(-c4cccc(C(F)(F)F)c4F)cs3)cc2)ncn1,7.66
