MDEC-33,VE1_Dzp,ATSC6e,minaaN,SpMax4_Bhm,nAtomLAC,VE3_Dzs,pEC50
9.246992482,0.206614401,0.08842255,4.216923693,3.754533584,2,-6.531643667,7.08
8.397269619,0.15928544,0.339785758,4.051978589,3.701206812,0,-7.902807353,5.11
6.293005384,0.034227543,0.090957744,3.646885336,3.701459036,0,-6.580082155,6.61
7.710276239,0.101064037,2.337293151,3.830321733,3.701595631,0,-6.315574614,6.39
8.611072917,0.094649408,2.195797786,4.193241629,3.778708788,0,-6.562215117,7.09
7.947659235,0.196366718,0.403836832,3.891803173,3.70076756,0,-8.250085227,5.65
10.20450652,0.106367799,0.790939287,3.840142732,3.701407237,0,-5.734038591,7.08
8.397269619,0.104950242,3.433921086,3.816594243,3.677346017,0,-6.47850875,5.1
8.397269619,0.187122532,0.570314017,3.875796153,3.701036202,2,-8.781473581,6.84
9.246992482,0.139588113,0.782130072,4.104885317,3.741214219,2,-7.583819338,6.89
7.947659235,0.087511272,0.716606787,3.835619489,3.701750986,0,-7.78652993,6.59
10.97239121,0.160305241,0.657245964,4.161013343,3.750047338,0,-7.449401114,7.35
9.246992482,0.119929082,0.36916104,4.217967631,3.778766535,0,-7.193793896,7.64
5.629142983,0.031613179,0.986112423,3.82572397,3.686633683,0,-5.735468794,5.7
7.710276239,0.196462095,0.150096039,3.895112737,3.702628781,0,-11.17071934,6.46
7.710276239,0.087789912,4.929217086,3.819771589,3.683090595,0,-6.135674722,5.64
5.176552183,0.13025396,-0.07429108,3.883241992,3.698109232,0,-11.65403033,5.46
8.397269619,0.116127786,0.352735206,3.852964341,3.700928398,0,-6.475483092,6.38
9.246992482,0.182963278,0.237167288,4.041551983,3.742144426,2,-6.888828144,7.19
6.010105134,0.146303387,0.01268188,3.887040882,3.700171653,0,-10.79338738,5.92
10.10026826,0.165651856,1.502703771,3.841568898,3.702377957,0,-6.481995144,6.75
8.611072917,0.126066688,1.863743892,4.157682844,3.754040218,2,-6.482507431,6.66
9.246992482,0.150874318,0.041731737,4.159607539,3.754114759,2,-7.059302314,7.66
8.397269619,0.120702395,0.860230999,4.1630897,3.713753325,0,-6.921912491,5.66
6.293005384,0.099786936,0.162640333,3.848245383,3.701526717,0,-8.297819834,6.38
6.293005384,0.171632399,-0.11513885,3.890368188,3.709025216,0,-14.03271035,6.19
6.707198071,0.124374432,0.51371175,3.867243037,3.700050621,0,-7.652840996,5.16
9.246992482,0.105047662,0.938735807,4.026690872,3.732830853,0,-7.38768466,7.37
8.397269619,0.097938357,-1.084002998,3.829098835,3.701003075,0,-5.089933339,6.01
