Model,R,R^2,Q^2
Original,0.8697,0.7563,0.6951
Random 1,0.2006,0.0402,-0.2468
Random 2,0.2045,0.0418,-0.2766
Random 3,0.2095,0.0439,-0.2191
Random 4,0.2355,0.0555,-0.2103
Random 5,0.4459,0.1988,-0.0463
Random 6,0.1836,0.0337,-0.2599
Random 7,0.3926,0.1541,-0.0917
Random 8,0.4085,0.1669,-0.0656
Random 9,0.2931,0.0859,-0.1882
Random 10,0.3279,0.1075,-0.174
Random 11,0.2289,0.0524,-0.1997
Random 12,0.2482,0.0616,-0.1932
Random 13,0.2716,0.0738,-0.2005
Random 14,0.1522,0.0232,-0.2909
Random 15,0.2654,0.0704,-0.1907
Random 16,0.4136,0.1711,-0.0882
Random 17,0.3585,0.1285,-0.1318
Random 18,0.2382,0.0568,-0.231
Random 19,0.243,0.059,-0.2204
Random 20,0.484,0.2343,0.0286
Random 21,0.3058,0.0935,-0.1327
Random 22,0.3708,0.1375,-0.094
Random 23,0.3327,0.1107,-0.1323
Random 24,0.336,0.1129,-0.1563
Random 25,0.2444,0.0597,-0.1915
Random 26,0.4754,0.226,-0.0108
Random 27,0.2976,0.0886,-0.1271
Random 28,0.214,0.0458,-0.2374
Random 29,0.3059,0.0936,-0.1874
Random 30,0.416,0.1731,-0.1019
Random 31,0.2787,0.0777,-0.223
Random 32,0.523,0.2735,0.0127
Random 33,0.3689,0.1361,-0.2065
Random 34,0.2564,0.0657,-0.1831
Random 35,0.3691,0.1362,-0.1407
Random 36,0.2499,0.0625,-0.2253
Random 37,0.3147,0.099,-0.2142
Random 38,0.3085,0.0952,-0.1833
Random 39,0.3931,0.1545,-0.0877
Random 40,0.3373,0.1138,-0.1441
Random 41,0.4287,0.1838,-0.0755
Random 42,0.4748,0.2255,-0.0356
Random 43,0.2509,0.0629,-0.1838
Random 44,0.3504,0.1228,-0.1814
Random 45,0.2797,0.0782,-0.1455
Random 46,0.1567,0.0246,-0.2869
Random 47,0.2428,0.059,-0.2597
Random 48,0.3131,0.098,-0.1907
Random 49,0.3188,0.1016,-0.1224
Random 50,0.4072,0.1658,-0.1026
Random 51,0.3041,0.0925,-0.1817
Random 52,0.2839,0.0806,-0.2152
Random 53,0.3083,0.095,-0.1727
Random 54,0.3672,0.1348,-0.115
Random 55,0.3312,0.1097,-0.2162
Random 56,0.1243,0.0155,-0.2969
Random 57,0.234,0.0548,-0.2425
Random 58,0.412,0.1697,-0.1296
Random 59,0.2245,0.0504,-0.2135
Random 60,0.2775,0.077,-0.2039
Random 61,0.4508,0.2033,-0.0064
Random 62,0.1817,0.033,-0.3441
Random 63,0.299,0.0894,-0.2689
Random 64,0.3632,0.1319,-0.121
Random 65,0.2899,0.084,-0.2077
Random 66,0.4439,0.1971,-0.0517
Random 67,0.3879,0.1505,-0.1666
Random 68,0.4324,0.1869,-0.0634
Random 69,0.1578,0.0249,-0.2392
Random 70,0.379,0.1437,-0.1434
Random 71,0.2235,0.05,-0.2263
Random 72,0.2444,0.0598,-0.1916
Random 73,0.3339,0.1115,-0.187
Random 74,0.3437,0.1181,-0.1966
Random 75,0.377,0.1422,-0.0658
Random 76,0.1679,0.0282,-0.2447
Random 77,0.2385,0.0569,-0.3042
Random 78,0.2674,0.0715,-0.2009
Random 79,0.4374,0.1913,-0.0411
Random 80,0.2469,0.061,-0.1892
Random 81,0.3206,0.1028,-0.1602
Random 82,0.3018,0.0911,-0.1823
Random 83,0.3028,0.0917,-0.1892
Random 84,0.2752,0.0758,-0.1953
Random 85,0.2439,0.0595,-0.2291
Random 86,0.2666,0.0711,-0.2177
Random 87,0.3621,0.1311,-0.1382
Random 88,0.3692,0.1363,-0.1109
Random 89,0.2579,0.0665,-0.1997
Random 90,0.2327,0.0542,-0.255
Random 91,0.335,0.1122,-0.1769
Random 92,0.3147,0.0991,-0.1669
Random 93,0.438,0.1918,-0.0802
Random 94,0.4475,0.2002,-0.0407
Random 95,0.4072,0.1658,-0.1533
Random 96,0.2265,0.0513,-0.2525
Random 97,0.3066,0.094,-0.2163
Random 98,0.2805,0.0787,-0.1923
Random 99,0.3577,0.128,-0.1527
Random 100,0.4395,0.1932,-0.0112

Random Models Parameters

Average r :,0.31346513035857015
Average r^2 :,0.10546644820282354
Average Q^2 :,-0.16815044171068474

cRp^2 :,0.7054550104866835
